INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
659,1991,MA0071800,Springfield,,City,MA,Massachusetts,New England,Northeast,2,"Cities from 100,000 thru 249,999",5-Jul-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
3232,1991,MA0071800,Springfield,,City,MA,Massachusetts,New England,Northeast,2,"Cities from 100,000 thru 249,999",9-Feb-91,,,2,,,White,,2,Aggravated Assault,2,Other/Unknown,Anti-Asian,Individual,S,S
684,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",23-Aug-91,,,1,,,White,,1,Aggravated Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
686,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",29-Aug-91,,,1,,,Asian,,1,Simple Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
687,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",26-Sep-91,,,1,,,Black or African American,,1,Intimidation,1,Other/Unknown,Anti-Asian,Individual,S,S
693,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",4-Dec-91,,,3,,,White,,1,Simple Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
699,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",19-Apr-91,,,3,,,White,,1,Simple Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
715,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",7-Jun-91,,,3,,,White,,3,Simple Assault,3,Other/Unknown,Anti-Asian,Individual,S,S
716,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",13-Jun-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
719,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",3-Jul-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
